,Image,Labels_Rekognition,Labels_Vision,Labels_Azure
0,adults selfie.jpg,"['People', 'Person', 'Head', 'Face', 'Happy', 'Smile', 'Laughing', 'Adult', 'Bride', 'Woman']",,"['person (99.90%)', 'smile (99.75%)', 'human face (99.59%)', 'clothing (99.52%)', 'man (96.63%)', 'happy (95.79%)', 'friendship (95.63%)', 'laugh (93.80%)', 'fun (91.99%)', 'tooth (89.59%)', 'selfie (89.43%)', 'adolescent (86.98%)', 'group (86.56%)', 'love (86.28%)', 'social group (86.06%)', 'youth (85.34%)', 'posing (83.06%)', 'people (82.18%)', 'smiling (74.20%)', 'woman (55.59%)', 'indoor (52.92%)']"
1,baby_girl.jpg,"['Person', 'Sitting', 'Face', 'Head', 'Photography', 'Portrait', 'Baby', 'Happy', 'Finger', 'Sleeve']",,"['toddler (98.98%)', 'human face (98.21%)', 'person (97.66%)', 'baby (97.19%)', 'clothing (97.01%)', 'child (96.42%)', 'baby & toddler clothing (95.68%)', 'child model (86.24%)']"
2,black girl.jpg,"['Head', 'Person', 'Face', 'Photography', 'Portrait', 'Skin', 'Adult', 'Female', 'Woman', 'Freckle']",,"['human face (99.06%)', 'person (96.57%)', 'lip (96.35%)', 'eyebrow (95.63%)', 'eyelash (95.17%)', 'skin (93.51%)', 'portrait photography (91.87%)', 'cheek (88.33%)', 'portrait (87.82%)', 'girl (86.34%)', 'lipstick (85.57%)', 'forehead (84.14%)', 'woman (77.16%)', 'face (48.88%)']"
3,black portrait.jpg,"['Face', 'Head', 'Person', 'Photography', 'Portrait', 'Skin', 'Body Part', 'Neck', 'Cosmetics', 'Lipstick']",,"['human face (98.58%)', 'person (97.35%)', 'eyebrow (94.35%)', 'skin (93.35%)', 'eyelash (89.97%)', 'cheek (89.19%)', 'forehead (88.20%)', 'lip (87.17%)', 'portrait (86.97%)', 'indoor (63.45%)', 'face (63.00%)']"
4,elderly doing excercise.jpg,"['People', 'Person', 'Head', 'Adult', 'Male', 'Man', 'Face', 'Happy', 'Celebrating', 'Bride']",,"['clothing (99.32%)', 'person (99.08%)', 'wall (97.86%)', 'furniture (97.45%)', 'indoor (97.11%)', 'chair (95.12%)', 'footwear (91.84%)', 'man (90.99%)', 'woman (90.94%)', 'group (87.69%)', 'people (87.42%)', 'adult (86.03%)', 'dance (85.31%)', 'floor (68.91%)']"
5,elderly gardening.jpg,"['Garden', 'Nature', 'Outdoors', 'Gardening', 'Adult', 'Male', 'Man', 'Person', 'Gardener', 'Glove']",,"['clothing (99.92%)', 'person (99.83%)', 'outdoor (99.42%)', 'plant (98.66%)', 'grass (96.66%)', 'gardener (88.81%)', 'farmworker (87.72%)', 'gardening (86.36%)', 'footwear (85.10%)', 'woman (76.63%)', 'people (62.07%)', 'fall (54.31%)']"
6,elderly playing table tennis.jpg,"['Adult', 'Male', 'Man', 'Person', 'Face', 'Head', 'Ping Pong Paddle', 'Racket', 'Sport', 'Senior Citizen']",,"['person (99.59%)', 'table-tennis table (98.71%)', 'clothing (98.30%)', 'outdoor (97.07%)', 'table (95.91%)', 'tree (95.21%)', 'man (90.90%)', 'ping pong (90.76%)', 'table tennis racket (90.60%)', 'grass (74.85%)', 'standing (60.23%)']"
7,Elderly_woman_gardening_in_backyard_with_daughter_.jpg,"['Garden', 'Nature', 'Outdoors', 'Gardening', 'Adult', 'Female', 'Person', 'Woman', 'Hat', 'Wheel']",,"['person (99.34%)', 'clothing (99.27%)', 'outdoor (98.56%)', 'wheel (96.69%)', 'plant (94.22%)', 'sun hat (92.30%)', 'flower (91.56%)', 'wheelchair (91.00%)', 'grass (84.45%)', 'woman (84.12%)', 'sitting (72.56%)', 'hat (59.81%)', 'lady (55.72%)', 'girl (53.38%)']"
8,eledelry gardening.jpg,"['Garden', 'Nature', 'Outdoors', 'Gardening', 'Gardener', 'Person', 'Adult', 'Female', 'Woman', 'Man']",,"['clothing (99.78%)', 'person (99.51%)', 'outdoor (99.49%)', 'plant (98.81%)', 'footwear (97.40%)', 'sky (96.93%)', 'grass (94.88%)', 'man (91.73%)', 'tree (91.62%)', 'gardener (91.37%)', 'jeans (89.15%)', 'gardening (89.05%)', 'farmworker (87.57%)', 'soil (85.08%)', 'garden tool (84.96%)', 'people (80.25%)', 'standing (78.64%)', 'ground (71.03%)', 'woman (54.85%)']"
9,family photos.jpg,"['Photography', 'Person', 'Walking', 'People', 'Portrait', 'Coat', 'Beach', 'Pants', 'Adult', 'Man']",,"['outdoor (99.56%)', 'sky (99.13%)', 'person (98.78%)', 'clothing (98.56%)', 'people (90.03%)', 'man (87.90%)', 'ground (86.80%)', 'water (85.43%)', 'beach (84.53%)', 'group (81.04%)', 'black and white (78.19%)', 'standing (71.37%)']"
